areaLand,isPartOf_label
http://dbpedia.org/ontology/areaLand,http://dbpedia.org/ontology/isPartOf
XMLSchema#double,XMLSchema#string
http://www.w3.org/2001/XMLSchema#double,http://www.w3.org/2001/XMLSchema#string
NULL,{Jammu and Kashmir|Udhampur district}
NULL,{Jharkhand|Ramgarh district}
23,{Guna district|Madhya Pradesh}
NULL,{Chhattisgarh|Durg district}
32.23,{Dharwad district|Karnataka}
NULL,{Karnataka|Tumkur district}
NULL,{Baramulla district|Jammu and Kashmir}
NULL,{Maharashtra|Solapur district}
NULL,{Gulbarga district|Karnataka}
NULL,{Cuddalore district|Tamil Nadu}
NULL,{Chhattisgarh|Dhamtari district}
NULL,{Karnataka|Koppal district}
NULL,{Nagaur district|Rajasthan}
NULL,{Bhind district|Madhya Pradesh}
NULL,{Sitapur district|Uttar Pradesh}
NULL,{Bundi district|Rajasthan}
NULL,{Assam|Cachar district}
NULL,{Haridwar district|Uttarakhand}
NULL,{Nainital district|Uttarakhand}
NULL,{Dausa district|Rajasthan}
NULL,{Haridwar district|Uttarakhand}
NULL,{Maharashtra|Ratnagiri district}
NULL,{Maharashtra|Nashik district}
NULL,{Karnataka|Raichur|Raichur district}
NULL,{Chhindwara district|Madhya Pradesh}
NULL,{Rajasthan|Sikar district}
NULL,{Chhattisgarh|Mungeli_District_Chhattisgarh}
NULL,{Madhya Pradesh|Rajgarh district}
NULL,{Andhra Pradesh|Guntur district}
NULL,{Ludhiana district|Punjab India}
NULL,{Jaunpur district|Uttar Pradesh}
NULL,{Kanchipuram district|Tamil Nadu}
NULL,{Nadia district|West Bengal}
NULL,{Hardoi district|Uttar Pradesh}
NULL,{Karnataka|Tumkur district}
NULL,{Deoghar district|Jharkhand}
NULL,{Budgam district|Jammu and Kashmir}
NULL,{Mathura district|Uttar Pradesh}
NULL,{Gujarat|Kheda district}
NULL,{Sitapur district|Uttar Pradesh}
NULL,{Gujarat|Kheda district}
NULL,{Maharashtra|Solapur district}
NULL,{Meghalaya|West Khasi Hills district}
NULL,{Amritsar district|Punjab India}
NULL,{Madhya Pradesh|Shajapur}
NULL,{Assam|Tinsukia district}
NULL,{Karnataka|Mandya district}
NULL,{Lucknow district|Uttar Pradesh}
NULL,{Buldhana district|Maharashtra}
NULL,{Kolhapur district|Maharashtra}
NULL,{Dhanbad district|Jharkhand}
NULL,{Salem district|Tamil Nadu}
NULL,{Rajasthan|Tonk district}
NULL,{Sivaganga district|Tamil Nadu}
NULL,{Dhar district|Madhya Pradesh}
NULL,{Maharashtra|Pune district}
NULL,{Bhilwara district|Rajasthan}
NULL,{Ramanathapuram district|Tamil Nadu}
NULL,{Dausa district|Rajasthan}
NULL,{Jabalpur district|Madhya Pradesh}
NULL,{Madhya Pradesh|Rewa District}
NULL,{Gujarat|Junagadh district}
NULL,{Baran district|Rajasthan}
NULL,{Beed district|Maharashtra}
NULL,{Assam|Dhubri district}
NULL,{Dharmapuri district|Tamil Nadu}
NULL,{Jaunpur district|Uttar Pradesh}
NULL,{Bihar|Patna district}
NULL,{Banda district|Uttar Pradesh}
NULL,{Cooch Behar district|West Bengal}
NULL,{Hamirpur district Uttar Pradesh|Uttar Pradesh}
NULL,{Madhya Pradesh|Rewa District}
NULL,{Imphal West district|Manipur}
NULL,{Gujarat|Sabarkantha district}
